"","Time_cat","Area.744","RetTime.744","Area.745","RetTime.745","Area.746","RetTime.746","Area.747","RetTime.747"
"1",3.1,3.10106945037842,2377.08056640625,NA,NA,NA,NA,3.10106945037842,2377.08056640625
"2",3.11,NA,NA,3.10762238502502,4209.7978515625,3.10762238502502,4209.7978515625,NA,NA
"3",3.53,3.53071641921997,1104.51635742188,NA,NA,NA,NA,3.53071641921997,1104.51635742188
"4",11.31,11.3086919784546,615.690734863281,11.310546875,778.594482421875,11.310546875,778.594482421875,11.3086919784546,615.690734863281
"5",11.83,NA,NA,11.8284378051758,45.8147163391113,11.8284378051758,45.8147163391113,NA,NA
"6",12.06,NA,NA,12.0637760162354,31.545202255249,12.0637760162354,31.545202255249,NA,NA
"7",12.3,12.2996387481689,56.998363494873,12.2992849349976,104.396324157715,12.2992849349976,104.396324157715,12.2996387481689,56.998363494873
"8",12.88,12.8762712478638,593.879150390625,12.8818483352661,1022.73516845703,12.8818483352661,1022.73516845703,12.8762712478638,593.879150390625
"9",14.02,14.0199899673462,2511.21508789062,NA,NA,NA,NA,14.0199899673462,2511.21508789062
"10",14.05,NA,NA,14.0502281188965,4456.63818359375,14.0502281188965,4456.63818359375,NA,NA
"11",14.32,NA,NA,14.3217058181763,28.3645687103271,14.3217058181763,28.3645687103271,NA,NA
"12",14.75,NA,NA,14.7516641616821,40.7765998840332,14.7516641616821,40.7765998840332,NA,NA
"13",14.8,14.7966938018799,29.1391181945801,NA,NA,NA,NA,14.7966938018799,29.1391181945801
"14",14.96,14.9622297286987,28.6438255310059,NA,NA,NA,NA,14.9622297286987,28.6438255310059
"15",14.99,NA,NA,14.9885025024414,348.216796875,14.9885025024414,348.216796875,NA,NA
"16",15.49,15.4892272949219,25.3391742706299,15.4915323257446,49.7101821899414,15.4915323257446,49.7101821899414,15.4892272949219,25.3391742706299
"17",15.79,15.7890491485596,49.4606971740723,15.794960975647,183.409515380859,15.794960975647,183.409515380859,15.7890491485596,49.4606971740723
"18",16.08,16.082878112793,1738.22290039062,NA,NA,NA,NA,16.082878112793,1738.22290039062
"19",16.14,NA,NA,16.1431007385254,5401.11181640625,16.1431007385254,5401.11181640625,NA,NA
"20",16.28,16.2846412658691,43.2705001831055,NA,NA,NA,NA,16.2846412658691,43.2705001831055
"21",16.3,NA,NA,16.2953758239746,85.5100402832031,16.2953758239746,85.5100402832031,NA,NA
"22",16.76,16.7595462799072,11.349365234375,NA,NA,NA,NA,16.7595462799072,11.349365234375
"23",16.88,16.8766326904297,65.255500793457,NA,NA,NA,NA,16.8766326904297,65.255500793457
"24",16.9,NA,NA,16.8966121673584,805.133911132812,16.8966121673584,805.133911132812,NA,NA
"25",17.07,17.0701351165771,331.425537109375,NA,NA,NA,NA,17.0701351165771,331.425537109375
"26",17.08,NA,NA,17.0807685852051,581.891784667969,17.0807685852051,581.891784667969,NA,NA
"27",17.56,17.56325340271,92.2084197998047,NA,NA,NA,NA,17.56325340271,92.2084197998047
"28",17.58,NA,NA,17.5814762115479,51.3361701965332,17.5814762115479,51.3361701965332,NA,NA
"29",17.68,17.6830291748047,102.277969360352,NA,NA,NA,NA,17.6830291748047,102.277969360352
"30",17.7,NA,NA,17.6955318450928,338.308990478516,17.6955318450928,338.308990478516,NA,NA
"31",17.76,17.7640628814697,100.383514404297,NA,NA,NA,NA,17.7640628814697,100.383514404297
"32",17.78,NA,NA,17.777156829834,358.744201660156,17.777156829834,358.744201660156,NA,NA
"33",18.02,18.0208873748779,36.3386878967285,NA,NA,NA,NA,18.0208873748779,36.3386878967285
"34",18.04,NA,NA,18.0359020233154,271.305358886719,18.0359020233154,271.305358886719,NA,NA
"35",18.47,18.473217010498,23.3428478240967,NA,NA,NA,NA,18.473217010498,23.3428478240967
"36",18.48,NA,NA,18.4766902923584,36.2923965454102,18.4766902923584,36.2923965454102,NA,NA
"37",18.94,18.9396438598633,87.4904403686523,NA,NA,NA,NA,18.9396438598633,87.4904403686523
"38",18.95,NA,NA,18.9466285705566,79.2824859619141,18.9466285705566,79.2824859619141,NA,NA
"39",19.16,19.1620349884033,144.963668823242,NA,NA,NA,NA,19.1620349884033,144.963668823242
"40",19.17,NA,NA,19.1698780059814,150.244354248047,19.1698780059814,150.244354248047,NA,NA
"41",19.44,19.4400100708008,25.3639850616455,NA,NA,NA,NA,19.4400100708008,25.3639850616455
"42",19.45,NA,NA,19.4501895904541,47.0309524536133,19.4501895904541,47.0309524536133,NA,NA
"43",19.57,19.5732021331787,68.1926345825195,NA,NA,NA,NA,19.5732021331787,68.1926345825195
"44",19.59,NA,NA,19.5915336608887,43.3417205810547,19.5915336608887,43.3417205810547,NA,NA
"45",19.99,19.9884510040283,1174.50915527344,NA,NA,NA,NA,19.9884510040283,1174.50915527344
"46",20.01,NA,NA,20.0104656219482,1352.33532714844,20.0104656219482,1352.33532714844,NA,NA
"47",20.21,20.2072257995605,3599.8828125,NA,NA,NA,NA,20.2072257995605,3599.8828125
"48",20.25,NA,NA,20.248872756958,5799.298828125,20.248872756958,5799.298828125,NA,NA
"49",20.46,20.4568672180176,160.690093994141,NA,NA,NA,NA,20.4568672180176,160.690093994141
"50",20.5,NA,NA,20.4977264404297,120.206687927246,20.4977264404297,120.206687927246,NA,NA
"51",20.75,20.7458629608154,197.615341186523,NA,NA,NA,NA,20.7458629608154,197.615341186523
"52",20.76,NA,NA,20.7574558258057,229.828094482422,20.7574558258057,229.828094482422,NA,NA
"53",20.93,20.9258422851562,218.756149291992,NA,NA,NA,NA,20.9258422851562,218.756149291992
"54",20.95,NA,NA,20.9464282989502,757.905578613281,20.9464282989502,757.905578613281,NA,NA
"55",21.22,21.2228984832764,244.411224365234,21.2217922210693,244.09033203125,21.2217922210693,244.09033203125,21.2228984832764,244.411224365234
"56",21.3,21.3045597076416,154.439727783203,NA,NA,NA,NA,21.3045597076416,154.439727783203
"57",21.31,NA,NA,21.3059673309326,111.184867858887,21.3059673309326,111.184867858887,NA,NA
"58",21.68,21.6821212768555,25.6492004394531,21.6837844848633,35.8298606872559,21.6837844848633,35.8298606872559,21.6821212768555,25.6492004394531
"59",21.77,21.7746181488037,14.2667484283447,21.7745342254639,24.4260272979736,21.7745342254639,24.4260272979736,21.7746181488037,14.2667484283447
"60",21.86,21.8591232299805,17.008394241333,NA,NA,NA,NA,21.8591232299805,17.008394241333
"61",21.9,NA,NA,21.9031276702881,35.0563888549805,21.9031276702881,35.0563888549805,NA,NA
"62",22.26,22.262601852417,9.61465072631836,NA,NA,NA,NA,22.262601852417,9.61465072631836
"63",22.27,NA,NA,22.2653560638428,12.1973524093628,22.2653560638428,12.1973524093628,NA,NA
